Date,Open,High,Low,Close,Adj Close,Volume
20-01-2022,200500,202500,199500,202000,180915.4063,451581
21-01-2022,199500,201000,198500,200000,179124.1563,513891
24-01-2022,197500,200000,195000,197000,176437.2969,659010
25-01-2022,196500,197000,190000,194500,174198.2344,1174185
26-01-2022,194500,194500,194500,194500,174198.2344,0
27-01-2022,190000,191500,185500,186500,167033.2813,1072651
28-01-2022,186500,186500,186500,186500,167033.2813,0
03-02-2022,193000,195500,191500,191500,171511.3594,837241
04-02-2022,190500,192000,188000,190000,170167.9375,837609
07-02-2022,189500,190000,184500,186500,167033.2813,829365
08-02-2022,186500,186500,186500,186500,167033.2813,0
09-02-2022,186500,186500,186500,186500,167033.2813,0
10-02-2022,186000,187000,182500,185500,166137.6406,1280607
11-02-2022,183000,184500,181000,183000,163898.6094,1001635
14-02-2022,179500,181000,176000,176500,158077.0781,1380176
15-02-2022,177000,183000,176500,180500,161659.5469,961742
16-02-2022,184500,185500,181000,182000,163002.9688,561867
17-02-2022,183000,186000,181000,183500,164346.4219,767679
18-02-2022,181000,184000,180500,183500,164346.4219,426090
21-02-2022,183500,183500,183500,183500,164346.4219,0
22-02-2022,183500,183500,183500,183500,164346.4219,0
23-02-2022,183500,183500,183500,183500,164346.4219,0
24-02-2022,178500,179000,171000,173000,154942.3906,1722526
25-02-2022,175000,175500,171500,174000,155838.0313,949885
28-02-2022,174000,174000,174000,174000,155838.0313,0
02-03-2022,171500,172500,169500,170500,152703.3281,1384049
03-03-2022,173500,179000,173000,177500,158972.6875,1244300
04-03-2022,177500,177500,177500,177500,158972.6875,0
07-03-2022,170000,171000,165500,168000,150464.3125,1439259
08-03-2022,164000,170500,163500,168000,150464.3125,728464
10-03-2022,168000,168000,168000,168000,150464.3125,0
11-03-2022,168000,168000,168000,168000,150464.3125,0
14-03-2022,166500,167500,163000,164500,147329.625,1112790
15-03-2022,164500,164500,164500,164500,147329.625,0
16-03-2022,164500,164500,164500,164500,147329.625,0
17-03-2022,164500,164500,164500,164500,147329.625,0
18-03-2022,171500,171500,169500,171000,153151.1563,782119
21-03-2022,171000,171000,171000,171000,153151.1563,0
22-03-2022,169000,174500,169000,173500,155390.2031,1166430
23-03-2022,175000,177500,174000,176000,157629.25,952954
24-03-2022,174000,177000,173500,176000,157629.25,709518
25-03-2022,176500,176500,173000,174000,155838.0313,563456
28-03-2022,172000,175500,171000,174500,156285.8125,459678
29-03-2022,176000,178000,174000,176500,158077.0781,545335
30-03-2022,180000,183000,179500,181000,162107.3438,1082135
31-03-2022,180500,181000,179000,180500,161659.5469,576522
01-04-2022,178000,178500,177000,178000,159420.5,470770
04-04-2022,177000,179000,174500,178000,159420.5,509106
